Prod. year,Levy,Mileage,Engine volume,Manufacturer,Model,Fuel type,Leather interior,Gear box type,Category,Price
2013,1083,155253.0,3.5999999046325684,CHEVROLET,Camaro LS,Petrol,No,Manual,Coupe,23521
1999,3138,185000.0,1.7999999523162842,MITSUBISHI,Pajero IO,Petrol,No,Automatic,Jeep,7997
2012,642,156000.0,2.0,HYUNDAI,I30,Petrol,Yes,Automatic,Pickup,14740
2014,684,148000.0,4.699999809265137,MERCEDES-BENZ,S 550,Petrol,Yes,Tiptronic,Sedan,141124
2011,583,76462.0,1.600000023841858,HYUNDAI,Elantra,Petrol,Yes,Automatic,Sedan,19707
2009,790,147200.0,1.600000023841858,MINI,Cooper CLUBMAN,Petrol,Yes,Automatic,Coupe,10349
2015,425,39625.0,1.0,KIA,Picanto,Petrol,Yes,Automatic,Sedan,12231
2014,394,176213.0,2.5,LEXUS,ES 300,Hybrid,Yes,Automatic,Sedan,14426
2008,1598,175614.0,3.0,MERCEDES-BENZ,E 350,Diesel,Yes,Automatic,Sedan,2430
2013,1267,64000.0,1.5,TOYOTA,Aqua,Hybrid,No,Variator,Hatchback,10976
2009,1145,30000.0,1.600000023841858,SKODA,Octavia,Petrol,No,Manual,Sedan,14113
2013,751,166774.0,2.4000000953674316,HYUNDAI,Sonata,Petrol,Yes,Automatic,Sedan,549
2017,1017,22000.0,2.0,HYUNDAI,Elantra,Petrol,No,Tiptronic,Sedan,16621
2011,707,109092.0,2.0,SSANGYONG,REXTON,Diesel,Yes,Automatic,Jeep,31659
1974,0,5200.0,0.6000000238418579,VAZ,2106,Petrol,No,Manual,Sedan,2437
2012,586,85800.0,1.7999999523162842,HYUNDAI,Elantra,Petrol,No,Automatic,Sedan,15681
2006,1569,124000.0,1.5,NISSAN,LATIO,Petrol,Yes,Automatic,Sedan,9095
2004,2342,134499.0,1.2999999523162842,MAZDA,Demio 12,Petrol,No,Automatic,Sedan,6586
2008,1750,190000.0,3.299999952316284,TOYOTA,Highlander LIMITED,Hybrid,Yes,Automatic,Jeep,23521
2012,753,123862.0,2.4000000953674316,HYUNDAI,Sonata,Hybrid,Yes,Automatic,Jeep,470
2018,1046,31000.0,3.0,MERCEDES-BENZ,GLS 450,Petrol,Yes,Tiptronic,Jeep,156805
2013,640,218280.0,2.0,HYUNDAI,Santa FE,Diesel,Yes,Automatic,Jeep,33243
2016,730,37045.0,1.600000023841858,SSANGYONG,Actyon,Petrol,Yes,Automatic,Jeep,44457
2017,1017,30000.0,2.0,TOYOTA,CHR,Petrol,No,Automatic,Jeep,45473
2016,891,145339.0,2.0,HYUNDAI,Santa FE,Diesel,Yes,Automatic,Jeep,41553
2009,1317,195071.0,2.799999952316284,JEEP,Wrangler,Diesel,Yes,Automatic,Jeep,43360
2016,397,74098.0,1.7999999523162842,TOYOTA,Prius,Hybrid,No,Automatic,Hatchback,18817
2003,1438,17000.0,1.7000000476837158,OPEL,Combo,Diesel,No,Manual,Goods wagon,6743
2016,1091,70000.0,2.5,TOYOTA,Camry,Petrol,Yes,Tiptronic,Sedan,31361
2014,777,168661.0,2.5,TOYOTA,RAV 4,Petrol,Yes,Automatic,Jeep,392
2010,836,112484.0,2.0,HYUNDAI,Sonata,LPG,Yes,Automatic,Sedan,7222
1992,3301,111111.0,1.7999999523162842,FORD,Escort,Diesel,No,Manual,Hatchback,1700
2018,1079,47692.0,2.0,HYUNDAI,Santa FE,Diesel,Yes,Automatic,Jeep,53188
2010,1511,151977.0,3.799999952316284,HYUNDAI,Genesis,Petrol,Yes,Automatic,Coupe,16621
1996,1481,344000.0,2.299999952316284,MERCEDES-BENZ,E 230,CNG,No,Manual,Sedan,5645
2012,642,340106.0,2.0,AUDI,Q5,Petrol,Yes,Automatic,Jeep,470
2012,781,230336.0,2.5,TOYOTA,Camry,Petrol,Yes,Automatic,Sedan,5645
2012,780,81250.0,1.7999999523162842,HYUNDAI,Elantra,Petrol,Yes,Automatic,Sedan,18817
2012,1058,205250.0,3.5,TOYOTA,Highlander,Hybrid,Yes,Automatic,Jeep,29479
2014,639,352590.0,2.0,HYUNDAI,Sonata,LPG,Yes,Automatic,Sedan,11604
2014,639,99653.0,2.0,VOLKSWAGEN,Jetta,Diesel,Yes,Automatic,Sedan,627
2012,780,154000.0,1.2999999523162842,HONDA,FIT,Hybrid,No,Variator,Hatchback,11133
2010,687,86660.0,1.600000023841858,HYUNDAI,Elantra,Petrol,Yes,Automatic,Sedan,13178
2001,2443,140000.0,2.5,BMW,525 525,LPG,Yes,Automatic,Sedan,11290
2015,697,72000.0,1.7999999523162842,KIA,Forte,Petrol,No,Manual,Sedan,13172
2009,1537,420550.0,3.299999952316284,TOYOTA,Highlander,Hybrid,Yes,Automatic,Jeep,12074
2015,353,115347.0,1.7999999523162842,LEXUS,CT 200h,Hybrid,Yes,Automatic,Hatchback,470
2003,2046,185000.0,1.399999976158142,MAZDA,Demio evropuli,CNG,No,Manual,Hatchback,7213
2014,639,565573.0,2.0,HYUNDAI,Sonata,LPG,Yes,Automatic,Sedan,8386
2013,729,123000.0,1.5,TOYOTA,Prius C,Petrol,No,Automatic,Hatchback,40
2012,780,143000.0,2.0,NISSAN,Serena,Petrol,No,Tiptronic,Minivan,17876
2012,642,156834.0,2.0,CHEVROLET,Orlando,Diesel,Yes,Automatic,Jeep,15125
2010,836,211344.0,2.0,SSANGYONG,Actyon,Diesel,Yes,Automatic,Jeep,11011
2016,891,282099.0,2.0,HYUNDAI,Sonata,LPG,Yes,Automatic,Sedan,19914
1992,3301,1000.0,4.199999809265137,NISSAN,Patrol,Diesel,No,Manual,Jeep,6272
2015,764,33034.0,2.0,CHEVROLET,Malibu,Petrol,Yes,Automatic,Sedan,14113
2007,1310,179000.0,1.600000023841858,TOYOTA,Corolla,Petrol,No,Tiptronic,Sedan,14740
2015,799,39300.0,3.5,MERCEDES-BENZ,ML 350,Petrol,Yes,Tiptronic,Jeep,63976
2009,1145,80000.0,1.5,TOYOTA,Prius,Hybrid,Yes,Variator,Hatchback,30
2016,1051,68941.0,2.4000000953674316,HYUNDAI,Sonata,Petrol,Yes,Automatic,Sedan,157
2017,831,25758.0,1.600000023841858,SSANGYONG,Actyon,Diesel,Yes,Automatic,Jeep,40634
2014,1053,146395.0,3.5,MERCEDES-BENZ,E 350,Petrol,Yes,Automatic,Sedan,1882
2012,753,148000.0,2.4000000953674316,KIA,Optima,Petrol,No,Tiptronic,Sedan,14740
2014,394,109798.0,2.5,TOYOTA,Camry,Hybrid,Yes,Automatic,Sedan,5488
2007,1282,58497.0,2.0,KIA,Sportage,Diesel,Yes,Automatic,Jeep,4701
2017,1034,45000.0,2.700000047683716,TOYOTA,Land Cruiser Prado,Diesel,Yes,Tiptronic,Jeep,345
2007,1310,138000.0,1.5,NISSAN,Note,LPG,No,Automatic,Sedan,8467
2014,1053,200179.0,3.5,MERCEDES-BENZ,E 350,Diesel,Yes,Automatic,Sedan,30734
2010,827,67381.0,2.0,CHEVROLET,Cruze,Petrol,Yes,Automatic,Sedan,6272
2012,586,418667.0,1.7999999523162842,TOYOTA,Prius,Hybrid,Yes,Automatic,Hatchback,314
1999,3138,150000.0,2.200000047683716,MERCEDES-BENZ,C 220,Diesel,No,Manual,Goods wagon,7527
2010,1067,198000.0,3.0,BMW,535 XI,Petrol,Yes,Tiptronic,Sedan,31358
2014,777,198916.0,2.5,HYUNDAI,H1,Diesel,Yes,Automatic,Minivan,25264
2016,1533,73960.0,3.5999999046325684,CHEVROLET,Impala,Petrol,Yes,Automatic,Sedan,52959
2015,308,44272.0,1.5,TOYOTA,Aqua,Hybrid,Yes,Automatic,Universal,31819
2012,531,104997.0,1.600000023841858,HYUNDAI,Elantra,Petrol,Yes,Automatic,Sedan,20005
2008,843,217600.0,1.5,TOYOTA,Prius,Hybrid,No,Automatic,Hatchback,12858
2004,2342,0.0,2.5,NISSAN,Presage,Petrol,No,Automatic,Minivan,6500
2010,1067,167300.0,2.0,TOYOTA,RAV 4,Petrol,Yes,Variator,Jeep,23207
2002,1797,201000.0,3.0,LEXUS,RX 300,Petrol,Yes,Automatic,Jeep,11917
2015,799,53638.0,3.0,BMW,X5,Petrol,Yes,Tiptronic,Jeep,75266
2012,780,140000.0,1.5,TOYOTA,Aqua,Petrol,No,Automatic,Hatchback,14426
2010,1399,229904.0,3.5,MERCEDES-BENZ,E 350,Petrol,Yes,Automatic,Sedan,470
2007,1310,11000.0,1.7000000476837158,CHEVROLET,Niva,Petrol,Yes,Manual,Jeep,7840
2015,764,39077.0,2.0,KIA,Optima,Petrol,Yes,Automatic,Sedan,18033
2013,530,167137.0,1.600000023841858,HYUNDAI,Elantra,Petrol,Yes,Automatic,Sedan,18826
2014,639,279722.0,2.0,AUDI,A6,Petrol,Yes,Automatic,Sedan,18817
2000,2146,123456.0,4.300000190734863,MERCEDES-BENZ,S 430,Petrol,Yes,Tiptronic,Sedan,7527
2011,831,112578.0,2.4000000953674316,HONDA,Cr-v,Petrol,No,Automatic,Jeep,19444
2010,836,233503.0,2.0,SSANGYONG,Actyon,Diesel,Yes,Automatic,Sedan,11807
2014,639,385149.0,2.0,HYUNDAI,Sonata,LPG,Yes,Automatic,Sedan,10349
2016,518,39741.0,2.5,TOYOTA,Camry,Hybrid,Yes,Automatic,Jeep,3763
2012,780,112000.0,1.5,TOYOTA,Prius C,Hybrid,Yes,Automatic,Hatchback,18817
2000,2146,2222.0,2.0,HONDA,Cr-v,Petrol,No,Automatic,Jeep,9095
2010,1399,205968.0,3.5,MERCEDES-BENZ,E 350,Petrol,Yes,Automatic,Sedan,1646
2014,363,37542.0,1.0,CHEVROLET,Spark,Petrol,Yes,Automatic,Sedan,8151
2013,729,130000.0,2.0,PEUGEOT,3008,Hybrid,Yes,Tiptronic,Hatchback,37633
2017,1249,75492.0,2.5,MAZDA,Mazda 6 TOURING,Petrol,Yes,Automatic,Sedan,21012
2014,1053,95987.0,3.5,MERCEDES-BENZ,E 350,Diesel,Yes,Automatic,Sedan,220
1999,3138,333333.0,4.300000190734863,MERCEDES-BENZ,E 430,Petrol,Yes,Automatic,Sedan,9408
2014,777,65000.0,2.5,MERCEDES-BENZ,ML 350,Diesel,No,Tiptronic,Jeep,62722
2004,2342,168000.0,3.0,CHRYSLER,300,Petrol,Yes,Automatic,Coupe,9408
2007,1282,74588.0,2.0,CHEVROLET,Captiva,Diesel,Yes,Automatic,Jeep,6586
2008,843,17000.0,1.5,TOYOTA,Prius,Hybrid,No,Variator,Sedan,12231
2009,966,104157.0,2.0,HYUNDAI,Genesis,Petrol,Yes,Automatic,Coupe,13630
2007,1310,1123.0,3.0,BMW,330,Petrol,Yes,Tiptronic,Cabriolet,100
1998,1700,214000.0,1.600000023841858,OPEL,Vectra,Petrol,No,Automatic,Sedan,4500
2003,2046,185000.0,1.5,NISSAN,March,Diesel,No,Manual,Hatchback,8467
2014,394,179381.0,2.5,TOYOTA,Camry,Hybrid,Yes,Automatic,Sedan,11133
2007,988,53668.0,1.5,HYUNDAI,Elantra,Diesel,Yes,Automatic,Sedan,5927
2015,353,92430.0,1.7999999523162842,TOYOTA,Prius,Hybrid,No,Automatic,Sedan,22580
2019,1820,10670.0,3.5,TOYOTA,Highlander,Petrol,Yes,Automatic,Sedan,470
2013,502,100000.0,1.5,FORD,Fusion,Petrol,No,Automatic,Sedan,19444
2005,2652,230000.0,1.7999999523162842,TOYOTA,Wish,Petrol,No,Automatic,Minivan,9408
2019,1077,3237.0,2.0,TOYOTA,CHR,Petrol,Yes,Automatic,Jeep,282
2011,707,200867.0,2.0,HYUNDAI,Sonata,Petrol,Yes,Automatic,Sedan,17035
2018,1079,74146.0,2.0,TOYOTA,CHR,Petrol,Yes,Automatic,Jeep,549
1995,1964,335000.0,1.7999999523162842,MERCEDES-BENZ,C 180,Petrol,No,Manual,Sedan,5331
2011,1018,273186.0,3.0,MERCEDES-BENZ,E 350,Diesel,Yes,Automatic,Sedan,9879
2010,687,219822.0,1.600000023841858,DAEWOO,Lacetti,Diesel,Yes,Automatic,Sedan,7806
2015,765,55000.0,2.0,SUBARU,Impreza,Petrol,Yes,Tiptronic,Sedan,11290
2013,729,96500.0,1.7999999523162842,HYUNDAI,Elantra,Petrol,Yes,Tiptronic,Hatchback,19000
2010,1324,300366.0,3.299999952316284,TOYOTA,Highlander,Hybrid,Yes,Automatic,Jeep,14269
2012,531,41279.0,1.600000023841858,HYUNDAI,Elantra,Petrol,Yes,Automatic,Sedan,16778
2014,394,109798.0,2.5,TOYOTA,Camry,Hybrid,Yes,Automatic,Sedan,5488
2006,1569,250000.0,1.7999999523162842,HONDA,Civic,Petrol,No,Manual,Hatchback,8467
2012,642,65000.0,2.0,VOLKSWAGEN,Jetta,Petrol,No,Automatic,Sedan,13485
2019,1077,2927.0,2.0,HONDA,Civic,Petrol,Yes,Automatic,Sedan,34635
2016,891,125230.0,2.0,HYUNDAI,Tucson,Diesel,Yes,Automatic,Jeep,35140
2006,1569,256000.0,2.0,AUDI,A4,Petrol,Yes,Manual,Sedan,15681
2001,2443,179000.0,2.0,FORD,Transit,Diesel,No,Manual,Microbus,8467
2006,1569,135000.0,3.0,MERCEDES-BENZ,C 280,Petrol,Yes,Tiptronic,Sedan,15053
2012,531,113516.0,1.600000023841858,HYUNDAI,Elantra,Petrol,Yes,Automatic,Sedan,19416
2009,2151,264339.0,4.699999809265137,LEXUS,GX 470,Petrol,Yes,Automatic,Jeep,2430
2010,760,74806.0,1.7999999523162842,CHEVROLET,Cruze,Petrol,Yes,Automatic,Sedan,6272
2014,777,190000.0,2.5,HYUNDAI,H1,Diesel,Yes,Automatic,Minivan,28423
2002,1797,287000.0,2.700000047683716,MERCEDES-BENZ,E 270,Diesel,Yes,Tiptronic,Sedan,14740
2004,2342,0.0,1.7000000476837158,HONDA,Stream,Petrol,No,Automatic,Minivan,6899
2011,1234,181970.0,3.700000047683716,ACURA,MDX,Petrol,Yes,Automatic,Jeep,4861
2000,2146,200000.0,2.0,SUBARU,Forester,CNG,No,Automatic,Jeep,6272
2015,765,0.0,2.0,HYUNDAI,Tucson,Petrol,Yes,Automatic,Jeep,1019
2010,761,154000.0,1.7999999523162842,TOYOTA,Prius,Hybrid,No,Automatic,Sedan,11604
1996,1481,0.0,4.0,BMW,735,Petrol,Yes,Tiptronic,Sedan,7840
2014,1053,184467.0,3.5,MERCEDES-BENZ,E 350,Diesel,Yes,Automatic,Sedan,941
2010,687,52418.0,1.600000023841858,HYUNDAI,Elantra,Petrol,Yes,Automatic,Sedan,18240
2015,765,46000.0,2.0,VOLKSWAGEN,Tiguan,Petrol,No,Tiptronic,Jeep,28225
2013,640,60000.0,2.0,FORD,C-MAX,Plug-in Hybrid,Yes,Automatic,Hatchback,22580
2008,1434,180000.0,1.5,TOYOTA,Prius,Hybrid,No,Automatic,Sedan,50
2000,2146,25000.0,3.200000047683716,MERCEDES-BENZ,E 320,Petrol,Yes,Tiptronic,Sedan,7200
2013,640,124000.0,2.0,KIA,Optima,Petrol,Yes,Tiptronic,Sedan,19757
2012,781,314373.0,2.5,TOYOTA,Camry,Hybrid,Yes,Automatic,Sedan,392
2008,1434,190000.0,3.0,BMW,528 i,Petrol,Yes,Tiptronic,Sedan,15681
2007,1310,111111.0,3.0,BMW,530,Petrol,Yes,Tiptronic,Sedan,17249
2000,2146,320000.0,3.200000047683716,MERCEDES-BENZ,320,Petrol,Yes,Automatic,Coupe,4704
2016,770,86000.0,1.7000000476837158,HYUNDAI,Tucson,Diesel,Yes,Automatic,Jeep,44545
2011,831,224349.0,2.4000000953674316,HYUNDAI,Sonata,Hybrid,Yes,Automatic,Sedan,3450
2014,418,50000.0,1.2000000476837158,NISSAN,March,Petrol,Yes,Automatic,Hatchback,13764
2013,751,146552.0,2.4000000953674316,BUICK,Century,Petrol,Yes,Automatic,Sedan,4704
2002,1797,300000.0,2.700000047683716,MERCEDES-BENZ,E 270,Diesel,No,Tiptronic,Sedan,9408
2014,639,162032.0,2.0,AUDI,A4,Petrol,Yes,Automatic,Sedan,706
2016,891,282994.0,2.0,HYUNDAI,Sonata,LPG,Yes,Automatic,Sedan,15681
2012,780,138000.0,2.0,VOLKSWAGEN,Jetta,Petrol,Yes,Manual,Sedan,18817
2008,2455,218126.0,4.699999809265137,LEXUS,GX 470,Petrol,Yes,Automatic,Jeep,282
2012,1363,189704.0,4.599999904632568,LEXUS,GX 460,Petrol,Yes,Automatic,Jeep,157
2010,1399,135000.0,3.5,HONDA,Odyssey,Petrol,Yes,Automatic,Minivan,25089
1995,1964,294000.0,1.600000023841858,BMW,316,Petrol,Yes,Manual,Sedan,5959
2015,629,38914.0,1.600000023841858,HYUNDAI,Elantra,Petrol,Yes,Automatic,Sedan,27065
2015,934,148105.0,2.5,HYUNDAI,H1,Diesel,Yes,Automatic,Universal,30063
2008,1850,494317.0,3.5,MERCEDES-BENZ,E 350,Diesel,Yes,Automatic,Sedan,3763
2011,645,230939.0,1.7999999523162842,TOYOTA,Prius,Hybrid,Yes,Automatic,Hatchback,282
2010,1099,151949.0,2.700000047683716,SSANGYONG,REXTON,Diesel,Yes,Automatic,Jeep,24029
2017,2225,69918.0,4.599999904632568,LEXUS,GX 460,Petrol,Yes,Automatic,Jeep,470
2010,836,127347.0,2.0,HYUNDAI,Sonata,Petrol,Yes,Automatic,Sedan,14959
2014,777,120309.0,2.5,HYUNDAI,H1,Diesel,Yes,Automatic,Minivan,30583
2015,934,110734.0,2.5,TOYOTA,Camry,Petrol,No,Automatic,Sedan,28225
2002,1797,0.0,1.2999999523162842,HONDA,FIT,Petrol,No,Automatic,Hatchback,30
2018,87,81907.0,0.0,TESLA,Model X,Petrol,Yes,Automatic,Sedan,53941
2005,2652,97000.0,2.5,VOLKSWAGEN,Jetta,Petrol,Yes,Tiptronic,Sedan,9500
2000,2146,33000.0,2.0,VOLKSWAGEN,Jetta,LPG,No,Manual,Sedan,6115
2014,915,114142.0,3.0,HYUNDAI,H1,Diesel,Yes,Automatic,Minivan,31581
2013,640,128197.0,2.0,HYUNDAI,Santa FE,Diesel,Yes,Automatic,Jeep,50018
2013,2054,110000.0,2.5,SUBARU,Forester,Petrol,No,Automatic,Jeep,22894
2013,1055,107800.0,3.5,MERCEDES-BENZ,E 350,Diesel,Yes,Automatic,Sedan,5802
2010,1399,382746.0,3.5,LEXUS,RX 450,Hybrid,Yes,Automatic,Jeep,314
2007,867,212000.0,1.2999999523162842,FIAT,Punto,Diesel,No,Automatic,Hatchback,10976
2006,1569,300000.0,2.200000047683716,MERCEDES-BENZ,C 220,Diesel,No,Automatic,Sedan,17562
2014,639,746740.0,2.0,HYUNDAI,Sonata,LPG,Yes,Automatic,Sedan,10036
2016,1091,90000.0,2.5,HYUNDAI,H1,Diesel,Yes,Automatic,Minivan,35403
1996,1481,233000.0,2.0,MERCEDES-BENZ,200,CNG,No,Manual,Sedan,6272
2014,639,77192.0,2.0,CHEVROLET,Cruze,Diesel,Yes,Automatic,Sedan,15577
2018,1046,70000.0,2.0,NISSAN,Rogue SPORT,Petrol,Yes,Tiptronic,Jeep,43592
1998,1700,760000.0,2.5,FORD,Transit,Diesel,No,Manual,Microbus,500
2012,780,200000.0,2.0,FORD,Focus,Petrol,No,Automatic,Sedan,15053
2001,1998,1000.0,2.4000000953674316,FORD,Transit,Diesel,No,Manual,Microbus,11604
2014,394,398069.0,2.5,TOYOTA,Camry,Hybrid,Yes,Automatic,Sedan,1098
2016,891,109555.0,2.0,MERCEDES-BENZ,GLA 250,Petrol,Yes,Automatic,Jeep,8311
1996,1481,25000.0,2.5,FORD,Transit,Diesel,No,Manual,Microbus,7840
2014,1356,65000.0,4.599999904632568,MERCEDES-BENZ,S 550,Petrol,Yes,Tiptronic,Sedan,65858
2015,1307,93081.0,3.5999999046325684,CHEVROLET,Camaro,Petrol,No,Automatic,Sedan,30577
2015,765,546691.0,2.0,HYUNDAI,Sonata,LPG,Yes,Automatic,Sedan,9252
2009,1273,170347.0,2.700000047683716,SSANGYONG,REXTON,Diesel,Yes,Automatic,Jeep,19707
2016,891,299337.0,2.0,HYUNDAI,Sonata,LPG,Yes,Automatic,Sedan,13172
2014,777,175342.0,2.5,HYUNDAI,H1,Diesel,Yes,Automatic,Minivan,31581
2013,917,301707.0,3.0,AUDI,A7,Petrol,Yes,Automatic,Hatchback,11133
2015,1273,80856.0,3.5,LEXUS,IS 350,Petrol,Yes,Automatic,Sedan,2352
2002,1797,280000.0,2.0,BMW,320 DIESEL,Diesel,No,Manual,Sedan,10036
2009,790,91930.0,1.600000023841858,DAEWOO,Gentra,Petrol,Yes,Automatic,Sedan,3763
2012,781,99000.0,2.5,TOYOTA,Camry,Hybrid,No,Automatic,Sedan,25089
2015,629,99335.0,1.600000023841858,HYUNDAI,Elantra,Diesel,Yes,Automatic,Sedan,17054
2014,308,212357.0,1.7999999523162842,TOYOTA,Prius,Hybrid,Yes,Automatic,Hatchback,3136
2014,915,110715.0,3.0,BMW,X5,Diesel,Yes,Automatic,Jeep,16621
2011,1172,170429.0,3.5,MERCEDES-BENZ,E 350,Diesel,Yes,Automatic,Coupe,15994
2014,308,132563.0,1.7999999523162842,LEXUS,CT 200h,Hybrid,Yes,Automatic,Hatchback,11447
2013,640,156000.0,2.0,HYUNDAI,Santa FE,Diesel,Yes,Automatic,Jeep,43815
2017,382,123206.0,1.5,CHEVROLET,Volt,Hybrid,Yes,Automatic,Hatchback,4077
2001,2443,184592.0,1.0,OPEL,Agila,Petrol,No,Manual,Sedan,3800
2015,382,88795.0,2.0,FORD,Fusion,Hybrid,Yes,Automatic,Sedan,2587
2001,2443,94000.0,3.200000047683716,MERCEDES-BENZ,C 32 AMG,Petrol,Yes,Tiptronic,Sedan,15681
1995,1964,333333.0,1.7999999523162842,MERCEDES-BENZ,C 180,Petrol,No,Manual,Sedan,3400
2014,308,132563.0,1.7999999523162842,LEXUS,CT 200h,Hybrid,Yes,Automatic,Hatchback,10349
2010,1399,189530.0,3.5,MERCEDES-BENZ,E 350,Diesel,Yes,Automatic,Sedan,12388
1998,1700,214400.0,2.4000000953674316,MITSUBISHI,Eclipse,Petrol,No,Automatic,Cabriolet,4704
2013,917,176973.0,3.0,BMW,X5,Petrol,Yes,Automatic,Jeep,282
2012,781,120000.0,2.5,VOLKSWAGEN,Jetta,Petrol,Yes,Tiptronic,Sedan,14113
2012,780,100000.0,1.600000023841858,NISSAN,Juke,Petrol,No,Automatic,Jeep,19444
2017,1017,50930.0,2.0,MERCEDES-BENZ,E 300,Petrol,Yes,Automatic,Sedan,3450
2015,765,50031.0,2.0,HYUNDAI,Santa FE,Diesel,Yes,Automatic,Jeep,33870
2001,2443,147000.0,1.899999976158142,MERCEDES-BENZ,A 190,Petrol,No,Automatic,Hatchback,5488
2011,1855,0.0,5.699999809265137,DODGE,RAM,Petrol,Yes,Automatic,Sedan,251
2015,765,59000.0,2.0,MERCEDES-BENZ,CLA 250,Petrol,Yes,Tiptronic,Sedan,40456
2008,843,67000.0,1.5,TOYOTA,Prius,Hybrid,Yes,Variator,Hatchback,10036
2016,891,144333.0,2.0,HYUNDAI,Santa FE,Diesel,Yes,Automatic,Jeep,47512
2015,765,343047.0,2.0,HYUNDAI,Sonata,LPG,Yes,Automatic,Sedan,10663
2003,2046,182000.0,2.0,SUBARU,Legacy bl5,Petrol,No,Tiptronic,Sedan,9408
1997,5679,415386.0,2.0,MERCEDES-BENZ,C 220,Petrol,No,Manual,Sedan,7683
2011,862,183728.0,2.5,MAZDA,CX-7,Petrol,Yes,Automatic,Jeep,392
2012,1058,75000.0,3.5,TOYOTA,Highlander,Hybrid,Yes,Tiptronic,Jeep,48610
2010,836,205000.0,2.0,HYUNDAI,Tucson,Diesel,Yes,Automatic,Jeep,16766
2017,1017,115974.0,2.0,HYUNDAI,Elantra,Petrol,Yes,Automatic,Sedan,4547
2007,1310,0.0,1.5,TOYOTA,Prius,Hybrid,No,Automatic,Hatchback,14113
2012,642,166122.0,2.0,HYUNDAI,Tucson,Diesel,Yes,Automatic,Jeep,20237
2013,502,37900.0,1.5,TOYOTA,Aqua,Petrol,Yes,Automatic,Hatchback,28592
2012,642,154231.0,2.0,SSANGYONG,Korando,Diesel,Yes,Automatic,Jeep,20266
2014,638,33670.0,2.0,KIA,Optima,Petrol,Yes,Automatic,Sedan,21326
2007,1310,2200000.0,4.699999809265137,TOYOTA,4Runner,Petrol,Yes,Automatic,Jeep,27598
2010,1067,90200.0,4.0,NISSAN,Pathfinder,LPG,Yes,Tiptronic,Jeep,31500
2008,843,200000.0,1.5,HONDA,FIT,Petrol,No,Tiptronic,Hatchback,12074
2015,765,86616.0,2.0,BMW,528,Petrol,Yes,Automatic,Sedan,1725
2001,2443,170000.0,5.5,MERCEDES-BENZ,ML 55 AMG,Petrol,Yes,Automatic,Jeep,15681
2012,1505,51000.0,1.7999999523162842,TOYOTA,Prius V,Hybrid,No,Automatic,Hatchback,13500
2014,308,0.0,1.7999999523162842,FORD,C-MAX,Hybrid,No,Automatic,Hatchback,13799
2012,753,233733.0,2.4000000953674316,CHEVROLET,Equinox,Petrol,Yes,Automatic,Jeep,3450
2012,781,314373.0,2.5,TOYOTA,Camry,Hybrid,Yes,Automatic,Sedan,392
1995,1964,217000.0,1.7999999523162842,RENAULT,Laguna,CNG,No,Manual,Hatchback,2979
2004,2342,245000.0,3.200000047683716,MERCEDES-BENZ,Viano,LPG,Yes,Tiptronic,Minivan,23521
2012,1363,229334.0,4.599999904632568,LEXUS,GX 460,Petrol,Yes,Automatic,Jeep,52059
2015,629,47562.0,1.600000023841858,HYUNDAI,Elantra,Petrol,Yes,Automatic,Sedan,27504
2015,765,72114.0,2.0,FORD,Focus,Petrol,No,Automatic,Sedan,12544
2016,891,256768.0,2.0,HYUNDAI,Sonata,LPG,Yes,Automatic,Sedan,15681
2011,707,151727.0,2.0,HYUNDAI,Sonata,Petrol,Yes,Automatic,Sedan,19416
2003,1438,171339.0,1.7000000476837158,OPEL,Combo,Diesel,No,Manual,Goods wagon,6429
2004,2342,190000.0,2.0,NISSAN,X-Trail,CNG,Yes,Automatic,Jeep,13172
2009,966,74429.0,2.0,DAEWOO,Lacetti,Petrol,Yes,Automatic,Sedan,5893
2016,1935,155976.0,4.599999904632568,LEXUS,GX 460,Petrol,Yes,Automatic,Jeep,31988
2014,639,571919.0,2.0,HYUNDAI,Sonata,LPG,Yes,Automatic,Sedan,10349
2011,583,132742.0,1.600000023841858,HYUNDAI,Elantra,Petrol,Yes,Automatic,Sedan,19121
2011,1018,282280.0,3.0,BMW,X5,Diesel,Yes,Automatic,Jeep,470
2002,1797,300000.0,2.200000047683716,MERCEDES-BENZ,C 220 CDI,Diesel,No,Manual,Sedan,9756
2006,1569,299200.0,2.700000047683716,SUZUKI,Grand Vitara,Petrol,No,Automatic,Jeep,13700
2016,810,152278.0,1.7999999523162842,HYUNDAI,Elantra,Petrol,Yes,Automatic,Sedan,4861
2013,474,78000.0,1.399999976158142,CHEVROLET,Cruze,Petrol,No,Tiptronic,Sedan,14740
2014,749,128000.0,2.4000000953674316,HYUNDAI,Tucson,Petrol,Yes,Tiptronic,Jeep,24148
2018,2566,39576.0,5.0,FORD,Mustang,Petrol,Yes,Automatic,Jeep,7997
2012,780,161000.0,3.0,AUDI,A7,Petrol,Yes,Tiptronic,Coupe,58018
2016,730,26757.0,1.600000023841858,SSANGYONG,Actyon,Diesel,Yes,Automatic,Jeep,40983
2017,831,109953.0,1.600000023841858,CHEVROLET,Orlando,Diesel,Yes,Automatic,Jeep,28043
2008,2455,218126.0,4.699999809265137,LEXUS,GX 470,Petrol,Yes,Automatic,Jeep,282
2013,779,115000.0,2.5,VOLKSWAGEN,Passat,Petrol,Yes,Automatic,Sedan,18817
